Grade	ID	BusinessName	count_3	count_2	count_1	LICSTATUS	EXPDTTM	LICENSENO	Address	City	State	ZIP
F	2294	PUPUSERIA MAMA BLANCA	10	2	31	Inactive	12/31/2012 23:59	24023	389   Maverick ST	East Boston	MA	2128
A	2295	PURPLE CACTUS	1	0	12	Active	12/31/2015 23:59	21150	674   Centre ST	Jamaica Plain	MA	2130
D	2296	PUSHCART CAFE	6	1	11	Active	12/31/2015 23:59	20022	117   Salem ST	Boston	MA	2113
D	2297	Pagliuca's Restaurant	1	6	56	Active	12/31/2015 23:59	18731	14  Parmenter St	Boston	MA	2113
A	2298	Palm  Restaurant  (1 International Place)	1	0	4	Active	12/31/2015 23:59	80063	90  Oliver St	Boston	MA	2110
B	2299	Panda Express Space 29A	3	1	14	Active	12/31/2015 23:59	28482	100   LOGAN AIRPORT TRMNL A	EAST BOSTON	MA	2128
A	2300	Panera Bread	0	0	1	Active	12/31/2015 23:59	87131	1  Union St	Boston	MA	2109
D	2301	Panera Bread	9	2	16	Active	12/31/2015 23:59	26330	200   High ST	Boston	Ma	2110
C	2302	Panera Bread Bakery Cafe	5	2	48	Active	12/31/2015 23:59	73446	8   Allstate RD	Dorchester	MA	2125
B	2303	Panera Bread Bakery Cafe (Stuart St.)	0	1	10	Active	12/31/2015 23:59	77756	115   Stuart ST	Boston	MA	2116
C	2304	Panera Bread Bakery/Cafe	3	2	9	Active	12/31/2015 23:59	29230	201   BROOKLINE AV	BOSTON	MA	2215
D	2305	Panera Bread Bakery/Cafe No.  1411	6	3	47	Active	12/31/2015 23:59	37268	75   Spring ST	West Roxbury	MA	2132
D	2306	Panera Bread No.  1449	6	4	24	Active	12/31/2015 23:59	74295	490   BOYLSTON ST	Boston	MA	2116
B	2307	Panera Bread No.  1636	3	0	4	Active	12/31/2015 23:59	78451	3  Center Pz	Boston	MA	2108
D	2308	Panera Bread No. 1415	3	6	32	Active	12/31/2015 23:59	74672	289   Huntington AV	Boston	MA	2115
B	2309	Pantry Pizza & Kitchen	4	1	34	Inactive	12/31/2011 23:59	31442	931   Dorchester AV	Dorchester	Ma	2125
C	2310	Panza	4	2	17	Active	12/31/2015 23:59	20137	326   Hanover ST	Boston	MA	2113
C	2311	Paolo's	4	2	19	Active	12/31/2015 23:59	26539	247   Main ST	Charlestown	MA	2129
B	2312	Papa Gino's	3	0	3	Active	12/31/2015 23:59	24864	204 N Beacon ST	Brighton	MA	2135
B	2313	Papa John's West Roxbury	2	0	2	Inactive	12/31/2011 23:59	28615	1780   Centre ST	West Roxbury	MA	2132
C	2314	Papa Razzi	2	3	22	Active	12/31/2015 23:59	73750	157   Newbury ST	Boston	MA	2116
B	2315	Papa Rinos Pizza	1	1	16	Inactive	12/31/2011 23:59	75778	258   Dudley ST	Roxbury	MA	2119
D	2316	Papagayo	8	5	46	Active	12/31/2015 23:59	31616	1   Chelsea ST	Charlestown	MA	2129
F	2317	Papagayo	11	6	84	Active	12/31/2015 23:59	30905	15   West ST	Boston	MA	2111
A	2318	Papagayo	0	0	8	Active	12/31/2015 23:59	74335	281   Summer ST	Boston	MA	2210
B	2319	Paparino's Pizza	2	0	15	Inactive	12/31/2011 23:59	29659	258   Dudley ST	Roxbury	MA	2119
C	2320	Paraiso Restaurant	1	2	6	Inactive	12/31/2010 0:00	33708	2306   Washington ST	Roxbury	MA	2119
A	2321	Paraiso Restaurant	1	0	7	Active	12/31/2015 23:59	76033	750   Dudley ST	Dorchester	MA	2125
A	2322	Paris Creperie	0	0	4	Active	12/31/2015 23:59	78913	1   Citywide ST	Boston	MA	2128
C	2323	Parish Cafe	5	1	19	Active	12/31/2015 23:59	19504	359   Boylston ST	Boston	MA	2116
D	2324	Parish Cafe	7	2	50	Active	12/31/2015 23:59	31887	493   MASSACHUSETTS AV	BOSTON	MA	2115
B	2325	Parkside Cafe 1	2	0	7	Active	12/31/2015 23:59	20647	1   Post Office SQ	Boston	MA	2109
A	2326	Parkside Cafe 2	0	0	4	Active	12/31/2015 23:59	23546	1   Post Office SQ	Boston	MA	2109
D	2327	Pasta & Pomodoro	5	4	15	Inactive	12/31/2013 23:59	22331	120   Salem ST	Boston	MA	2113
F	2328	Pasta Beach	13	2	8	Active	12/31/2015 23:59	67788	30  Rowes Wh	Boston	MA	2110
A	2329	Pastoral	0	0	1	Active	12/31/2015 23:59	90024	341   Congress ST	Boston	MA	2210
F	2330	Pat's Place	11	9	44	Active	12/31/2015 23:59	18663	15   Francis ST	Boston	MA	2115
D	2331	Pat's Trattoria	7	9	39	Inactive	12/31/2014 23:59	34528	429   W BROADWAY	SOUTH BOSTON	MA	2127
C	2332	Pauli's	3	2	32	Active	12/31/2015 23:59	74064	65   Salem ST	Boston	MA	2113
